report,title,statement,item,n,v1,v2,v3,v4,line
2025年报,星宇股份2025年年度报告,IS,营业利润（亏损以“－”号填列）,2,1817517638.79,1594107310.20,,,"三、营业利润（亏损以“－”号填列） 1,817,517,638.79 1,594,107,310.20"
2025年报,星宇股份2025年年度报告,IS,加：营业外收入,2,3428852.75,6896990.07,,,"加：营业外收入 七、74 3,428,852.75 6,896,990.07"
2025年报,星宇股份2025年年度报告,IS,减：营业外支出,2,7710905.57,8578534.66,,,"减：营业外支出 七、75 7,710,905.57 8,578,534.66"
2025年报,星宇股份2025年年度报告,IS,利润总额（亏损总额以“－”号填列）,2,1813235585.97,1592425765.61,,,"四、利润总额（亏损总额以“－”号填列） 1,813,235,585.97 1,592,425,765.61"
2025年报,星宇股份2025年年度报告,IS,减：所得税费用,2,189144984.88,184145270.15,,,"减：所得税费用 七、76 189,144,984.88 184,145,270.15"
2025年报,星宇股份2025年年度报告,IS,净利润（净亏损以“－”号填列）,2,1624090601.09,1408280495.46,,,"五、净利润（净亏损以“－”号填列） 1,624,090,601.09 1,408,280,495.46"
2025年报,星宇股份2025年年度报告,IS,持续经营净利润（净亏损以“－”号填列）,2,1624090601.09,1408280495.46,,,"1.持续经营净利润（净亏损以“－”号填列） 1,624,090,601.09 1,408,280,495.46"
2025年报,星宇股份2025年年度报告,IS,归属于母公司股东的净利润（净亏损以“-”号填列）,2,1624090601.09,1408280495.46,,,"1,624,090,601.09 1,408,280,495.46"
2025年报,星宇股份2025年年度报告,IS,其他综合收益的税后净额,2,80406686.61,-10454432.27,,,"六、其他综合收益的税后净额 80,406,686.61 -10,454,432.27"
2025年报,星宇股份2025年年度报告,IS,归属母公司所有者的其他综合收益的税后净额,2,80406686.61,-10454432.27,,,"80,406,686.61 -10,454,432.27"
2025年报,星宇股份2025年年度报告,IS,不能重分类进损益的其他综合收益,2,40528061.52,864726.82,,,"1．不能重分类进损益的其他综合收益 40,528,061.52 864,726.82"
2025年报,星宇股份2025年年度报告,IS,其他权益工具投资公允价值变动,2,40528061.52,864726.82,,,"（3）其他权益工具投资公允价值变动 40,528,061.52 864,726.82"
2025年报,星宇股份2025年年度报告,IS,将重分类进损益的其他综合收益,2,39878625.09,-11319159.09,,,"2．将重分类进损益的其他综合收益 39,878,625.09 -11,319,159.09"
2025年报,星宇股份2025年年度报告,IS,外币财务报表折算差额,2,39878625.09,-11319159.09,,,"（6）外币财务报表折算差额 39,878,625.09 -11,319,159.09"
2025年报,星宇股份2025年年度报告,IS,综合收益总额,2,1704497287.70,1397826063.19,,,"七、综合收益总额 1,704,497,287.70 1,397,826,063.19"
2025年报,星宇股份2025年年度报告,IS,归属于母公司所有者的综合收益总额,2,1704497287.70,1397826063.19,,,"（一）归属于母公司所有者的综合收益总额 1,704,497,287.70 1,397,826,063.19"
2025年报,星宇股份2025年年度报告,IS,基本每股收益(元/股),2,5.7072,4.9628,,,（一）基本每股收益(元/股) 5.7072 4.9628
2025年报,星宇股份2025年年度报告,IS,稀释每股收益(元/股),2,5.7071,4.9299,,,（二）稀释每股收益(元/股) 5.7071 4.9299
2025年报,星宇股份2025年年度报告,CF,销售商品、提供劳务收到的现金,2,15430078996.46,12573403590.98,,,"15,430,078,996.46 12,573,403,590.98"
2025年报,星宇股份2025年年度报告,CF,收到的税费返还,2,52210308.21,19432729.58,,,"收到的税费返还 52,210,308.21 19,432,729.58"
2025年报,星宇股份2025年年度报告,CF,收到其他与经营活动有关的现金,2,103898002.02,134877119.54,,,"七、78（1） 103,898,002.02 134,877,119.54"
2025年报,星宇股份2025年年度报告,CF,经营活动现金流入小计,2,15586187306.69,12727713440.10,,,"经营活动现金流入小计 15,586,187,306.69 12,727,713,440.10"
2025年报,星宇股份2025年年度报告,CF,购买商品、接受劳务支付的现金,2,10796932946.61,9634105798.71,,,"10,796,932,946.61 9,634,105,798.71"
2025年报,星宇股份2025年年度报告,CF,支付给职工及为职工支付的,2,1313079130.69,1254220330.26,,,"支付给职工及为职工支付的 1,313,079,130.69 1,254,220,330.26"
2025年报,星宇股份2025年年度报告,CF,支付的各项税费,2,633384090.74,595449577.38,,,"支付的各项税费 633,384,090.74 595,449,577.38"
2025年报,星宇股份2025年年度报告,CF,支付其他与经营活动有关的现金,2,406100672.61,334720465.63,,,"七、78（1） 406,100,672.61 334,720,465.63"
2025年报,星宇股份2025年年度报告,CF,经营活动现金流出小计,2,13149496840.65,11818496171.98,,,"经营活动现金流出小计 13,149,496,840.65 11,818,496,171.98"
2025年报,星宇股份2025年年度报告,CF,经营活动产生的现金流量净额,2,2436690466.04,909217268.12,,,"2,436,690,466.04 909,217,268.12"
2025年报,星宇股份2025年年度报告,CF,收回投资收到的现金,2,6902453606.83,5392340066.67,,,"收回投资收到的现金 6,902,453,606.83 5,392,340,066.67"
2025年报,星宇股份2025年年度报告,CF,取得投资收益收到的现金,2,43894387.81,46748901.32,,,"取得投资收益收到的现金 43,894,387.81 46,748,901.32"
2025年报,星宇股份2025年年度报告,CF,处置固定资产、无形资产和其他长期资产收回的现金净额,2,15358159.96,12837592.91,,,"15,358,159.96 12,837,592.91"
2025年报,星宇股份2025年年度报告,CF,投资活动现金流入小计,2,6961706154.60,5451926560.90,,,"投资活动现金流入小计 6,961,706,154.60 5,451,926,560.90"
2025年报,星宇股份2025年年度报告,CF,购建固定资产、无形资产和其他长期资产支付的现金,2,930969399.12,679141991.71,,,"930,969,399.12 679,141,991.71"
