report,title,statement,item,n,v1,v2,v3,v4,line
2015年报,2015年年度报告,IS,本期发生同一控制下企业合并的，被合并方在合并前实现的净利润为,1,0,,,,"本期发生同一控制下企业合并的，被合并方在合并前实现的净利润为：0 元,上期被合并方实现的"
2015年报,2015年年度报告,IS,净利润为,1,0,,,,净利润为：0 元。
2015年报,2015年年度报告,CF,销售商品、提供劳务收到的现金,2,"2,077,590,448.93","1,637,945,496.59",,,"销售商品、提供劳务收到的现金 2,077,590,448.93 1,637,945,496.59"
2015年报,2015年年度报告,CF,收到其他与经营活动有关的现金,2,"28,522,146.16","41,838,324.02",,,"收到其他与经营活动有关的现金 七、70 28,522,146.16 41,838,324.02"
2015年报,2015年年度报告,CF,经营活动现金流入小计,2,"2,106,112,595.09","1,679,783,820.61",,,"经营活动现金流入小计 2,106,112,595.09 1,679,783,820.61"
2015年报,2015年年度报告,CF,购买商品、接受劳务支付的现金,2,"1,297,061,033.65","799,125,507.11",,,"购买商品、接受劳务支付的现金 1,297,061,033.65 799,125,507.11"
2015年报,2015年年度报告,CF,支付给职工以及为职工支付的现金,2,"281,251,105.14","203,541,540.56",,,"支付给职工以及为职工支付的现金 281,251,105.14 203,541,540.56"
2015年报,2015年年度报告,CF,支付的各项税费,2,"136,338,762.46","139,833,546.35",,,"支付的各项税费 136,338,762.46 139,833,546.35"
2015年报,2015年年度报告,CF,支付其他与经营活动有关的现金,2,"191,834,687.93","151,356,793.00",,,"支付其他与经营活动有关的现金 七、70 191,834,687.93 151,356,793.00"
2015年报,2015年年度报告,CF,经营活动现金流出小计,2,"1,906,485,589.18","1,293,857,387.02",,,"经营活动现金流出小计 1,906,485,589.18 1,293,857,387.02"
2015年报,2015年年度报告,CF,经营活动产生的现金流量净额,2,"199,627,005.91","385,926,433.59",,,"经营活动产生的现金流量净额 199,627,005.91 385,926,433.59"
2015年报,2015年年度报告,CF,收回投资收到的现金,2,"941,480,000.00","573,300,000.00",,,"收回投资收到的现金 941,480,000.00 573,300,000.00"
2015年报,2015年年度报告,CF,取得投资收益收到的现金,2,"41,489,974.54","47,118,771.53",,,"取得投资收益收到的现金 41,489,974.54 47,118,771.53"
2015年报,2015年年度报告,CF,期资产收回的现金净额,2,"861,725.48","503,901.09",,,"期资产收回的现金净额 861,725.48 503,901.09"
2015年报,2015年年度报告,CF,收到其他与投资活动有关的现金,1,"2,761,500.00",,,,"收到其他与投资活动有关的现金 七、70 2,761,500.00"
2015年报,2015年年度报告,CF,投资活动现金流入小计,2,"986,593,200.02","620,922,672.62",,,"投资活动现金流入小计 986,593,200.02 620,922,672.62"
2015年报,2015年年度报告,CF,购建固定资产、无形资产和其他长期资产支付的现金,2,"208,381,301.09","242,300,143.99",,,"208,381,301.09 242,300,143.99"
2015年报,2015年年度报告,CF,投资支付的现金,2,"742,800,000.00","745,284,978.33",,,"投资支付的现金 742,800,000.00 745,284,978.33"
2015年报,2015年年度报告,CF,支付其他与投资活动有关的现金,2,"3,910,000.00","2,761,500.00",,,"支付其他与投资活动有关的现金 七、70 3,910,000.00 2,761,500.00"
2015年报,2015年年度报告,CF,投资活动现金流出小计,2,"955,091,301.09","990,346,622.32",,,"投资活动现金流出小计 955,091,301.09 990,346,622.32"
2015年报,2015年年度报告,CF,投资活动产生的现金流量净额,2,"31,501,898.93","-369,423,949.70",,,"投资活动产生的现金流量净额 31,501,898.93 -369,423,949.70"
2015年报,2015年年度报告,CF,吸收投资收到的现金,1,"43,358.70",,,,"吸收投资收到的现金 43,358.70"
2015年报,2015年年度报告,CF,其中：子公司吸收少数股东投资收到的现金,1,"43,358.70",,,,"43,358.70"
2015年报,2015年年度报告,CF,取得借款收到的现金,2,"557,384,485.14","197,798,414.86",,,"取得借款收到的现金 557,384,485.14 197,798,414.86"
2015年报,2015年年度报告,CF,筹资活动现金流入小计,2,"557,384,485.14","197,841,773.56",,,"筹资活动现金流入小计 557,384,485.14 197,841,773.56"
2015年报,2015年年度报告,CF,偿还债务支付的现金,2,"535,159,235.84","295,585,936.09",,,"偿还债务支付的现金 535,159,235.84 295,585,936.09"
2015年报,2015年年度报告,CF,分配股利、利润或偿付利息支付的现金,2,"190,070,071.52","176,622,779.86",,,"190,070,071.52 176,622,779.86"
2015年报,2015年年度报告,CF,其中：子公司支付给少数股东的股利、利润,1,"38,195.85",,,,"38,195.85"
2015年报,2015年年度报告,CF,支付其他与筹资活动有关的现金,2,"2,451,377.51","81,898.50",,,"支付其他与筹资活动有关的现金 七、70 2,451,377.51 81,898.50"
2015年报,2015年年度报告,CF,筹资活动现金流出小计,2,"727,680,684.87","472,290,614.45",,,"筹资活动现金流出小计 727,680,684.87 472,290,614.45"
2015年报,2015年年度报告,CF,筹资活动产生的现金流量净额,2,"-170,296,199.73","-274,448,840.89",,,"筹资活动产生的现金流量净额 -170,296,199.73 -274,448,840.89"
2015年报,2015年年度报告,CF,汇率变动对现金及现金等价物的影响,2,"2,245,665.41","-2,621,691.21",,,"2,245,665.41 -2,621,691.21"
2015年报,2015年年度报告,CF,现金及现金等价物净增加额,2,"63,078,370.52","-260,568,048.21",,,"五、现金及现金等价物净增加额 63,078,370.52 -260,568,048.21"
2015年报,2015年年度报告,CF,加：期初现金及现金等价物余额,2,"105,930,883.46","366,498,931.67",,,"加：期初现金及现金等价物余额 105,930,883.46 366,498,931.67"
2015年报,2015年年度报告,CF,期末现金及现金等价物余额,2,"169,009,253.98","105,930,883.46",,,"六、期末现金及现金等价物余额 169,009,253.98 105,930,883.46"
2016年报,2016年年度报告,BS,货币资金,2,"448,244,792.27","369,804,272.84",,,"货币资金 七、1 448,244,792.27 369,804,272.84"
2016年报,2016年年度报告,BS,应收票据,2,"315,678,094.84","258,114,526.30",,,"应收票据 七、4 315,678,094.84 258,114,526.30"
2016年报,2016年年度报告,BS,应收账款,2,"513,774,319.13","329,224,475.48",,,"应收账款 七、5 513,774,319.13 329,224,475.48"
2016年报,2016年年度报告,BS,预付款项,2,"64,397,766.38","45,695,473.74",,,"预付款项 七、6 64,397,766.38 45,695,473.74"
2016年报,2016年年度报告,BS,应收利息,2,"5,797,164.04","4,670,297.64",,,"应收利息 七、7 5,797,164.04 4,670,297.64"
2016年报,2016年年度报告,BS,其他应收款,2,"41,633,238.23","18,202,470.96",,,"其他应收款 七、9 41,633,238.23 18,202,470.96"
2016年报,2016年年度报告,BS,存货,2,"920,639,293.52","691,209,496.14",,,"存货 七、10 920,639,293.52 691,209,496.14"
2016年报,2016年年度报告,BS,其他流动资产,2,"2,006,371,596.30","730,462,200.19",,,"其他流动资产 七、13 2,006,371,596.30 730,462,200.19"
2016年报,2016年年度报告,BS,流动资产合计,2,"4,316,536,264.71","2,447,383,213.29",,,"流动资产合计 4,316,536,264.71 2,447,383,213.29"
2016年报,2016年年度报告,BS,固定资产,2,"818,696,272.91","669,090,390.03",,,"固定资产 七、19 818,696,272.91 669,090,390.03"
2016年报,2016年年度报告,BS,在建工程,2,"35,201,120.23","94,686,922.11",,,"在建工程 七、20 35,201,120.23 94,686,922.11"
2016年报,2016年年度报告,BS,无形资产,2,"122,262,223.34","131,287,402.66",,,"无形资产 七、25 122,262,223.34 131,287,402.66"
2016年报,2016年年度报告,BS,商誉,2,"27,980,177.33","27,980,177.33",,,"商誉 七、27 27,980,177.33 27,980,177.33"
2016年报,2016年年度报告,BS,长期待摊费用,2,"34,936,446.29","27,730,567.69",,,"长期待摊费用 七、28 34,936,446.29 27,730,567.69"
2016年报,2016年年度报告,BS,递延所得税资产,2,"14,276,378.93","8,643,342.63",,,"递延所得税资产 七、29 14,276,378.93 8,643,342.63"
2016年报,2016年年度报告,BS,其他非流动资产,2,"1,219,428.64",553.43,,,"其他非流动资产 七、30 1,219,428.64 553.43"
2016年报,2016年年度报告,BS,非流动资产合计,2,"1,054,572,047.67","959,419,355.88",,,"非流动资产合计 1,054,572,047.67 959,419,355.88"
2016年报,2016年年度报告,BS,资产总计,2,"5,371,108,312.38","3,406,802,569.17",,,"资产总计 5,371,108,312.38 3,406,802,569.17"
2016年报,2016年年度报告,BS,短期借款,1,"127,437,728.07",,,,"短期借款 七、31 127,437,728.07"
2016年报,2016年年度报告,BS,应付票据,2,"642,231,113.61","481,659,647.00",,,"应付票据 七、34 642,231,113.61 481,659,647.00"
2016年报,2016年年度报告,BS,应付账款,2,"840,293,622.82","549,507,620.23",,,"应付账款 七、35 840,293,622.82 549,507,620.23"
2016年报,2016年年度报告,BS,预收款项,1,"1,824,098.47",,,,"预收款项 七、36 1,824,098.47"
2016年报,2016年年度报告,BS,应付职工薪酬,2,"27,935,875.78","27,505,017.74",,,"应付职工薪酬 七、37 27,935,875.78 27,505,017.74"
2016年报,2016年年度报告,BS,应交税费,2,"24,685,514.29","31,796,826.50",,,"应交税费 七、38 24,685,514.29 31,796,826.50"
2016年报,2016年年度报告,BS,应付利息,1,"103,839.57",,,,"应付利息 七、39 103,839.57"
2016年报,2016年年度报告,BS,其他应付款,2,"3,920,847.13","1,894,462.03",,,"其他应付款 七、41 3,920,847.13 1,894,462.03"
2016年报,2016年年度报告,BS,其他流动负债,2,"22,969,492.05","14,490,612.40",,,"其他流动负债 七、44 22,969,492.05 14,490,612.40"
2016年报,2016年年度报告,BS,流动负债合计,2,"1,562,036,465.68","1,236,219,852.01",,,"流动负债合计 1,562,036,465.68 1,236,219,852.01"
2016年报,2016年年度报告,BS,长期应付款,2,"2,116,231.73","4,377,263.66",,,"长期应付款 七、47 2,116,231.73 4,377,263.66"
